제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
라야와 마지막 드래곤,,,2021-03-04,,312814,2891566280
중경삼림,,,1995-09-02,,82789,780132810
반지의 제왕 : 반지원정대,,,2001-12-31,,27746,335063990
리스타트,,,2021-03-11,,38131,342245050
웨이 다운,,,2021-03-11,,9801,86858810
아이 씨 유,,,2021-03-11,,6985,65005110
모리타니안,,,2021-03-17,,39885,357552870
반지의 제왕 : 두 개의 탑,,,2002-12-19,,21659,254597520
브레이브 언더 파이어,,,2021-03-17,,9202,74615800
고질라 VS. 콩,,,2021-03-25,,698084,6722237990
더 박스,,,2021-03-24,,117302,916554460
최면,,,2021-03-24,,50550,461073840
몬테크리스토: 더 뮤지컬 라이브,,,2021-03-19,,13010,257195000
자산어보,,,2021-03-31,,323704,2870528130
"조제, 호랑이 그리고 물고기들",,,2021-03-31,,21683,195134560
아무도 없는 곳,,,2021-03-31,,13871,117055880
해길랍,,,2021-03-31,,10051,86855230
노바디,,,2021-04-07,,129310,1234615530
모탈 컴뱃,,,2021-04-08,,29517,308460310
더 파더,,,2021-04-07,,29366,251666300
타인의 친절,,,2021-04-07,,6230,51915650
서복,,,2021-04-15,,385409,3628177450
명탐정 코난: 비색의 탄환,,,2021-04-16,,209227,1970502280
노매드랜드,,,2021-04-15,,50342,472288890
어른들은 몰라요,,,2021-04-15,,26848,262079990
내일의 기억,,,2021-04-21,,331619,3012481750
비와 당신의 이야기,,,2021-04-28,,398572,3634692350
더 스파이,,,2021-04-28,,303268,2801637740
마크맨,,,2021-04-28,,15333,119439800
극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,,,2021-04-28,,11685,95537800
크루즈 패밀리: 뉴 에이지,,,2021-05-05,,222562,1967506340
극장판 콩순이: 장난감나라 대모험,,,2021-05-05,,65559,577249720
내가 죽기를 바라는 자들,,,2021-05-05,,43017,403217600
스파이럴,,,2021-05-12,,128468,1274701180
아들의 이름으로,,,2021-05-12,,22834,198470300
내겐 너무 소중한 너,,,2021-05-12,,17358,159998370
분노의 질주: 더 얼티메이트,,,2021-05-19,,2276213,21935002320
도라에몽: 스탠바이미 2,,,2021-05-19,,73540,641231110
크루엘라,,,2021-05-26,,1975467,19178509920
파이프라인,,,2021-05-26,,133392,1176086860
보이저스,,,2021-05-26,,19505,163586000
굴뚝마을의 푸펠,,,2021-05-26,,20596,177406190
브리짓 존스의 일기,,,2001-09-01,,10838,71465730
컨저링3: 악마가 시켰다,,,2021-06-03,,786498,7897268320
프로페서 앤 매드맨,,,2021-06-02,,13103,114062350
뱅드림! 로젤리아 에피소드Ⅰ: 약속,,,2021-06-03,,12249,111842780
캐시트럭,,,2021-06-09,,226334,2151247250
아야와 마녀,,,2021-06-10,,19838,170931820
콰이어트 플레이스 2,,,2021-06-16,,855221,8488960520
플래시백,,,2021-06-10,,3325,27524930
루카,,,2021-06-17,,367109,3357641370
여고괴담 여섯번째 이야기 : 모교,,,2021-06-17,,89378,814276160
킬러의 보디가드 2,,,2021-06-23,,378087,3722129210
사랑하고 사랑받고 차고 차이고,,,2021-06-16,,10422,88875800
발신제한,,,2021-06-23,,949062,9059521760
미드나이트,,,2021-06-30,,105121,920431160
인 더 하이츠,,,2021-06-30,,43491,397702830
체르노빌 1986,,,2021-06-30,,19691,162844900
괴기맨숀,,,2021-06-30,,26682,270436800
블랙 위도우,,,2021-07-07,,2955481,29927638820
랑종,,,2021-07-14,,827673,8586730770
BIFAN2021 판타스틱 단편 걸작선 1,,, ,,13457,67285000
이스케이프 룸 2: 노 웨이 아웃,,,2021-07-14,,212050,2106940220
꽃다발 같은 사랑을 했다,,,2021-07-14,,20806,197314320
스페이스 잼: 새로운 시대,,,2021-07-15,,14043,129582130
오필리아,,,2021-07-14,,8008,71273010
보스 베이비 2,,,2021-07-21,,919456,8252936160
아이스 로드,,,2021-07-21,,26700,256048950
은혼 더 파이널,,,2021-07-22,,27220,260795910
호스트: 접속금지,,,2021-07-21,,10954,102605000
모가디슈,,,2021-07-28,,3604819,34493898150
정글 크루즈,,,2021-07-28,,246447,2278635680
방법: 재차의,,,2021-07-28,,165954,1476515330
더 수어사이드 스쿼드,,,2021-08-04,,417322,4382594840
극장판 도라에몽: 진구의 신공룡,,,2021-08-05,,62627,541295580
블랙핑크 더 무비,,,2021-08-04,,11761,154036500
그린 나이트,,,2021-08-05,,18638,174485770
싱크홀,,,2021-08-11,,2182763,21303259680
프리 가이 ,,,2021-08-11,,302487,3063711320
하이큐!! 땅 VS 하늘,,,2020-01-23,,33745,280876960
인질,,,2021-08-18,,1622923,15488130140
올드,,,2021-08-18,,108235,1056688950
퍼피 구조대 더 무비,,,2021-08-18,,57721,505210250
귀문,,,2021-08-25,,89695,774580270
레미니센스,,,2021-08-25,,33227,307870100
여름날 우리,,,2021-08-25,,393436,3819925709
샹치와 텐 링즈의 전설,,,2021-09-01,,1730037,17616390490
맨 인 더 다크 2,,,2021-09-01,,73638,722238900
코다,,,2021-08-31,,47413,442660920
건파우더 밀크셰이크,,,2021-09-08,,30196,264218830
보이스,,,2021-09-15,,1418958,13975333080
기적,,,2021-09-15,,701176,6537831510
"극장판 포켓몬스터: 정글의 아이, 코코",,,2021-09-15,,208739,1896361620
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,,,2021-09-15,,196931,1872787000
말리그넌트,,,2021-09-15,,39983,420645670
캔디맨,,,2021-09-22,,49426,489759300
